WORD	QL	OTHER	RELATION	LLR	PEARSONRESID	LOGODDSRATIO	PMI	DELTAPC2W	DELTAPW2C	KLDC2W	KLDW2C
就燒	2	0	attraction	33.9114155493429	97.9418309593842	31.3818813819978	12.2283079213415	0.0036697247706422	0.999792357533559	0.0395910562789479	12.2283079213415
應硬	2	0	attraction	33.9114155493429	97.9418309593842	31.3818813819978	12.2283079213415	0.0036697247706422	0.999792357533559	0.0395910562789479	12.2283079213415
相加	2	0	attraction	33.9114155493429	97.9418309593842	31.3818813819978	12.2283079213415	0.0036697247706422	0.999792357533559	0.0395910562789479	12.2283079213415
仔一	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
個加	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
先藏	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
卻發	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
場加	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
天加	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
家比	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
家笑	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
師比	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
心也連	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
抬得	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
支加	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
暴食	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
曹興誠關	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
歸結	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
焊	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
窗廉拉	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
舉不	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
著亂	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
連笑	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
都熱	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
頭抬	1	0	attraction	16.9538699208049	69.2553328332071	31.0437138948168	12.2283079213415	0.0018348623853211	0.999791975214459	0.0197930961108665	12.2283079213415
一忙	1	1	attraction	14.1816972912746	48.960707465577	8.47764489520172	11.2283079213415	0.00183447990725335	0.49979197513491	0.0179587843978093	5.11430431028621
並補	1	1	attraction	14.1816972912746	48.960707465577	8.47764489520172	11.2283079213415	0.00183447990725335	0.49979197513491	0.0179587843978093	5.11430431028621
封印	1	1	attraction	14.1816972912746	48.960707465577	8.47764489520172	11.2283079213415	0.00183447990725335	0.49979197513491	0.0179587843978093	5.11430431028621
我氣	1	1	attraction	14.1816972912746	48.960707465577	8.47764489520172	11.2283079213415	0.00183447990725335	0.49979197513491	0.0179587843978093	5.11430431028621
錢加	1	1	attraction	14.1816972912746	48.960707465577	8.47764489520172	11.2283079213415	0.00183447990725335	0.49979197513491	0.0179587843978093	5.11430431028621
午睡	2	3	attraction	27.1825448641171	61.9244844627751	8.07401894905892	10.9063798264541	0.00366857733643895	0.399792357295352	0.0347415929853893	3.92055299362049
地站	1	2	attraction	13.1356170969322	39.9679154368231	7.78449733216538	10.6433454206203	0.0018340974291856	0.333125308388695	0.0168860093808872	3.15800727254663
痙攣	1	2	attraction	13.1356170969322	39.9679154368231	7.78449733216538	10.6433454206203	0.0018340974291856	0.333125308388695	0.0168860093808872	3.15800727254663
磨菇	1	2	attraction	13.1356170969322	39.9679154368231	7.78449733216538	10.6433454206203	0.0018340974291856	0.333125308388695	0.0168860093808872	3.15800727254663
還學	1	2	attraction	13.1356170969322	39.9679154368231	7.78449733216538	10.6433454206203	0.0018340974291856	0.333125308388695	0.0168860093808872	3.15800727254663
