WORD	QL	OTHER	RELATION	LLR	PEARSONRESID	LOGODDSRATIO	PMI	DELTAPC2W	DELTAPW2C	KLDC2W	KLDW2C
就燒	2	0	attraction	34.6854558170459	107.896823314705	31.5754080255052	12.5075127295079	0.00362976406533575	0.99982888640582	0.0401730891045698	12.5075127295079
相加	2	0	attraction	34.6854558170459	107.896823314705	31.5754080255052	12.5075127295079	0.00362976406533575	0.99982888640582	0.0401730891045698	12.5075127295079
仔一	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
個加	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
先藏	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
卻發	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
場加	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
天加	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
家比	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
家笑	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
師比	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
心也連	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
抬得	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
支加	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
暴食	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
曹興誠關	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
條收	1	0	attraction	17.3409100381061	76.2945754343149	31.2372606162484	12.5075127295079	0.00181488203266788	0.999828574776929	0.0200841650748892	12.5075127295079
